reserva_id,codigo_reserva,numero_ticket,vuelo_id,pasaporte_comprador,nombre_comprador,nacionalidad_comprador,fecha_nacimiento_comprador,numero_asiento,clase,comida_y_maleta,pasaporte_pasajero,nombre_pasajero,nacionalidad_pasajero,fecha_nacimiento_pasajero
4263,LAT5532-4263,2096,100,V03976673,Mark Greene,Chilena,09-12-1998,21,Primera clase,FALSO,V03976673,Mark Greene,Chilena,09-12-1998
1722,LRC9669-1722,4435,130,N07672370,Kevin Wilson,Uruguaya,11-09-1986,4,Economica,FALSO,I07581924,Kelsey Powell,Francesa,10-07-1989
2621,LAW6318-2621,6305,96,I19062847,Christopher Garcia,Chilena,06-12-1986,8,Primera clase,FALSO,F15206543,Kristen Harris,Chilena,25-11-1972
219,LAW6351-0219,8161,105,L56496275,Cheryl Bolton,Uruguaya,16-12-1972,6,Ejecutiva,FALSO,P34583903,Kelsey Huff,Estadounidense,08-08-1972
1037,LAT5532-1037,316,100,X66304032,Victoria Odom,Francesa,04-12-1986,22,Economica,VERDADERO,H23592194,Ethan Gilbert,Uruguaya,30-12-1975
1331,ETA7128-1331,3411,114,V03976673,Mark Greene,Chilena,09-12-1998,26,Primera clase,VERDADERO,V03976673,Mark Greene,Chilena,09-12-1998
2704,UAN2468-2704,4516,99,X84322989,Mr. Russell Abbott,Chilena,16-11-1984,17,Economica,VERDADERO,C87025090,Diana Frank,Alemana,07-12-1979
3978,LUD7177-3978,3856,121,G15489494,Anthony Francis,Argentina,13-02-1988,3,Economica,FALSO,G15489494,Anthony Francis,Argentina,13-02-1988
616,ETA6742-0616,7951,120,L87663260,Heather Bolton,Estadounidense,17-09-1982,4,Ejecutiva,VERDADERO,J46610530,Andrew Torres,Alemana,01-12-1981
4160,LRC9669-4160,7946,130,W06120402,Adam Clark,Estadounidense,10-06-1993,25,Primera clase,VERDADERO,U37349664,Diane Ritter,Venezolana,05-05-1996
820,COG4299-0820,3309,129,J34719947,Heather Scott,Estadounidense,02-05-1973,18,Economica,FALSO,J86333952,Leslie Howard,Venezolana,22-09-1971
4470,LRC4743-4470,4133,110,X84322989,Mr. Russell Abbott,Chilena,16-11-1984,18,Economica,VERDADERO,F15206543,Kristen Harris,Chilena,25-11-1972
2542,BTA8394-2542,7224,128,I19062847,Christopher Garcia,Chilena,06-12-1986,21,Ejecutiva,FALSO,R17782317,Zachary Davenport,Venezolana,29-12-1971
4209,XLE7933-4209,157,95,M25657749,Casey Bennett,Estadounidense,12-03-1984,19,Economica,VERDADERO,M25657749,Casey Bennett,Estadounidense,12-03-1984
2855,LUD5927-2855,8599,102,C87025090,Diana Frank,Alemana,07-12-1979,11,Economica,FALSO,T33834498,Alejandro Allen,Chilena,20-05-1992
372,LRC4743-0372,195,110,L87663260,Heather Bolton,Estadounidense,17-09-1982,20,Economica,VERDADERO,J86333952,Leslie Howard,Venezolana,22-09-1971
1642,QAF4466-1642,4873,126,V79731274,Corey Elliott,Venezolana,04-10-1979,6,Ejecutiva,FALSO,D76513142,Victoria Brennan,Uruguaya,19-06-1977
1,XLE7933-0001,8518,95,E44895667,Angela Reynolds,Estadounidense,09-08-1982,6,Economica,FALSO,E44895667,Angela Reynolds,Estadounidense,09-08-1982
1433,ADC8249-1433,7289,119,N49905893,Emma Scott,Chilena,29-07-1989,3,Ejecutiva,VERDADERO,N49905893,Emma Scott,Chilena,29-07-1989
2739,LAT5532-2739,9598,100,R17782317,Zachary Davenport,Venezolana,29-12-1971,30,Economica,FALSO,K07643594,Suzanne Goodman,Chilena,16-11-1987
692,IBE8751-0692,8254,124,P11550487,Maria Perez,Francesa,11-08-1996,30,Ejecutiva,VERDADERO,P11550487,Maria Perez,Francesa,11-08-1996
1269,COG7539-1269,5809,111,G04408945,Robert Butler,Argentina,02-02-1974,10,Ejecutiva,VERDADERO,J39937043,Danielle Johnson,Mexicana,18-12-1981
4772,XLE3285-4772,7700,125,V03976673,Mark Greene,Chilena,09-12-1998,20,Economica,FALSO,N15841852,John Mcneil,Chilena,15-06-1981
3891,EAL8271-3891,1031,117,J86333952,Leslie Howard,Venezolana,22-09-1971,10,Economica,VERDADERO,O01507856,James Hunter,Chilena,14-05-1995
1037,LAT5532-1037,127,100,X66304032,Victoria Odom,Francesa,04-12-1986,19,Primera clase,VERDADERO,O41678476,Andrew Malone,Argentina,24-06-1996
489,NCY5615-0489,385,116,X49704522,James Rojas,Chilena,29-05-1986,18,Ejecutiva,VERDADERO,X49704522,James Rojas,Chilena,29-05-1986
2542,BTA8394-2542,4984,128,I19062847,Christopher Garcia,Chilena,06-12-1986,17,Economica,FALSO,L94336722,Julia Watkins,Uruguaya,25-08-1995
1991,UAN2468-1991,5775,99,D84069297,Brittany Jones,Uruguaya,30-04-1978,5,Economica,VERDADERO,F70729457,Justin Hudson,Chilena,12-02-1994
3775,LAM9554-3775,5178,109,V39868007,Cassandra Kirby,Chilena,02-04-1997,25,Economica,FALSO,J86333952,Leslie Howard,Venezolana,22-09-1971
4782,QAF4466-4782,6775,126,Y33413387,Kimberly Hansen,Argentina,02-07-1989,2,Primera clase,FALSO,G04408945,Robert Butler,Argentina,02-02-1974
2844,AZI6476-2844,2170,101,O04335063,Jonathan Sims,Estadounidense,13-04-1974,6,Economica,FALSO,O04335063,Jonathan Sims,Estadounidense,13-04-1974
4365,BTA9626-4365,9125,103,D64763364,James Johnson,Chilena,09-06-1994,26,Economica,FALSO,U68917595,Paul Brown,Francesa,24-08-1987
4222,LAW6318-4222,5170,96,N49905893,Emma Scott,Chilena,29-07-1989,31,Economica,VERDADERO,G04408945,Robert Butler,Argentina,02-02-1974
2151,QAF6392-2151,3117,106,Z09262256,Joseph Wilson,Uruguaya,28-07-1993,6,Ejecutiva,VERDADERO,J46009647,Erica Ochoa,Italiana,11-03-1994
2220,LAM9554-2220,2381,109,L87663260,Heather Bolton,Estadounidense,17-09-1982,14,Economica,FALSO,G15489494,Anthony Francis,Argentina,13-02-1988
4247,UAN2468-4247,9932,99,N49905893,Emma Scott,Chilena,29-07-1989,14,Ejecutiva,FALSO,N49905893,Emma Scott,Chilena,29-07-1989
2123,IBE2338-2123,1715,104,J46610530,Andrew Torres,Alemana,01-12-1981,15,Primera clase,VERDADERO,N07672370,Kevin Wilson,Uruguaya,11-09-1986
2288,NCY5615-2288,8394,116,Y23187711,Vicki Ward,Argentina,31-08-1981,20,Primera clase,FALSO,Y23187711,Vicki Ward,Argentina,31-08-1981
629,EAL7933-0629,719,123,I63697476,Emily Sullivan,Venezolana,25-07-1991,8,Primera clase,FALSO,Y05451726,Kathleen Johnson,Chilena,24-02-1973
2262,COG7539-2262,7979,111,F69466449,Jennifer Eaton,Chilena,29-08-1995,20,Economica,VERDADERO,N47846939,John Lee,Italiana,25-01-1996
2220,LAM9554-2220,8656,109,L87663260,Heather Bolton,Estadounidense,17-09-1982,24,Ejecutiva,FALSO,L87663260,Heather Bolton,Estadounidense,17-09-1982
4365,BTA9626-4365,7017,103,D64763364,James Johnson,Chilena,09-06-1994,11,Ejecutiva,FALSO,I71542181,Alfred Martin Jr.,Chilena,10-11-1989
3593,AZI6476-3593,550,101,J33947155,Amanda Mccarthy,Venezolana,25-08-1995,7,Primera clase,FALSO,J86333952,Leslie Howard,Venezolana,22-09-1971
3180,KAI3589-3180,5110,115,M25657749,Casey Bennett,Estadounidense,12-03-1984,12,Economica,VERDADERO,R10584802,John Luna,Chilena,04-11-1983
9,LAW6318-0009,2563,96,D84069297,Brittany Jones,Uruguaya,30-04-1978,3,Ejecutiva,VERDADERO,F70729457,Justin Hudson,Chilena,12-02-1994
3739,QAF6392-3739,2154,106,H44001820,Ann Robertson,Venezolana,27-04-1998,11,Ejecutiva,VERDADERO,J47009281,Susan Stewart MD,Estadounidense,08-02-1997
