trabajador_id,nombre,fecha_nacimiento,pasaporte,nombre_compania,codigo_compania,licencia_actual_id,vuelo_id,rol
4,Diane Swanson,14-02-1974,F08731569,KALITTA AIR,KAI,,139,Tripulante de Cabina
38,Gabriel Palmer,18-08-1981,O88716397,UNITED,UAN,31,64,Piloto
24,Eric Phelps,01-10-1994,B96464671,KOREAN AIR,KEA,35,21,Piloto
8,Jason Edwards,09-02-1975,J22810925,AEROVIAS DAP (centro/norte),ADC,45,41,Copiloto
2,Melissa Jimenez,18-12-1998,W08204144,LATAM DOMESTICO,LUD,,78,Tripulante de Cabina
35,Francisco Rich,21-02-1996,D89562085,IBERIA,IBE,,124,Paramedico
22,Rodney Wilson,18-10-1973,R08362516,OCEANAIR,COG,,101,Tripulante de Cabina
15,Matthew Walsh,20-09-1993,S26547035,EASTERN AIRLINES,EAL,12,77,Copiloto
40,Brian Berry,22-12-1998,N92528667,LATAM INTER,LAT,,35,Paramedico
59,Jacob Duran,25-02-1988,A85793465,LATAM ARGENTINA,LAM,17,129,Copiloto
22,Rodney Wilson,18-10-1973,R08362516,UNITED,UAN,,137,Tripulante de Cabina
31,Linda Warren,13-03-1975,L01109034,NO_COMPANY,NCY,50,9,Piloto
25,Danny Pratt,31-10-1998,E10934506,EASTERN AIRLINES,EAL,36,103,Copiloto
58,Samuel Jimenez,07-01-1984,B79815379,NO_COMPANY,NCY,,65,Tripulante de Cabina
17,Laura Ward,23-01-1981,I74549867,MARTINAIR HOLLAND,MPH,28,36,Piloto
59,Jacob Duran,25-02-1988,A85793465,KALITTA AIR,KAI,17,126,Copiloto
59,Jacob Duran,25-02-1988,A85793465,KOREAN AIR,KEA,17,59,Copiloto
39,Patricia Norris,08-12-1974,Y69764268,AEROVIAS DAP (centro/norte),ADC,,15,Tripulante de Cabina
25,Danny Pratt,31-10-1998,E10934506,LATAM CARGO,UCA,47,147,Copiloto
25,Danny Pratt,31-10-1998,E10934506,AEROVIAS DAP (centro/norte),ADC,47,91,Piloto
18,Michael Chavez,28-08-1976,O16330677,LATAM CARGO,UCA,,41,Tripulante de Cabina
